StudentID,TextLevel-01-SOY,TextLevel-01-MOY,TextLevel-01-EOY,TextLevel-02-SOY,TextLevel-02-MOY,TextLevel-02-EOY,WritingVocab-01-SOY,HRSIW-01-SOY,Counting-01,Counting-02,Place Value-01,Place Value-02,Addition and Subtraction-01,Addition and Subtraction-02,Multiplication and Division-01,Multiplication and Division-02,Kinder_Age,Gender,Disability_Non-disable,Disability_Cognitive,Disability_Physical,Disability_Sensory,Disability_SocialEmotional,NCCD-Funded,NumSibling,SiblingOrder,01.SES,02.SES,NumAbvYear9,NumAbvDiploma,NumProf,Year_02,Year3_Reading_At_Risk
955721271,8,14,21,17,23,27,10,38,0,2,1,1,0,2,0,2,5.38,Male,1,0,0,0,0,0,3,2,103,103,2,2,1,2020,FALSE
353473413,7,20,20,23,25,29,33,36,3,3,2,1,4,4,0,0,5.21,Male,1,0,0,0,0,0,4,2,101,101,2,1,0,2016,FALSE
380791193,8,11,24,19,25,26,8,26,2,3,1,2,1,3,1,2,5.76,Male,1,0,0,0,0,0,3,2,95,95,2,2,2,2017,FALSE
728034553,16,22,25,25,31,31,27,37,2,2,2,2,2,2,2,2,5.22,Male,0,1,0,0,0,0,2,1,109,109,2,2,1,2020,FALSE
417108271,12,16,22,25,29,28,4,41,2,3,1,1,1,2,2,2,4.61,Female,1,0,0,0,0,0,3,2,94,94,2,2,1,2020,FALSE
146268551,8,13,18,25,23,30,18,12,1,2,1,1,1,2,0,2,5.25,Female,1,0,0,0,0,0,2,1,107,96,2,1,1,2021,FALSE
292283419,8,12,19,17,21,24,9,14,2,2,1,1,1,3,0,2,4.69,Female,0,1,0,0,0,0,2,1,103,103,1,1,0,2017,FALSE
453175077,9,15,23,21,22,29,15,39,2,3,1,2,2,4,2,2,5.59,Female,0,0,1,0,0,0,2,1,105,105,2,2,2,2020,FALSE
727269733,31,29,28,31,29,30,43,40,3,5,2,2,3,5,2,3,5.71,Male,1,0,0,0,0,0,2,1,105,105,2,1,1,2020,FALSE
366225432,10,15,24,20,23,28,37,31,2,4,1,2,2,0,0,2,5.55,Female,1,0,0,0,0,0,2,2,102,102,2,0,0,2016,FALSE
189521551,12,14,21,25,30,30,27,48,1,2,1,1,1,1,0,0,5.01,Male,1,0,0,0,0,0,3,3,95,93,2,2,1,2021,FALSE
486109831,8,17,24,31,30,31,27,39,1,2,1,1,2,1,1,2,5.20,Female,1,0,0,0,0,0,3,2,109,109,2,2,0,2020,FALSE
744081052,11,14,20,22,25,30,27,33,1,3,1,1,1,3,1,2,5.21,Female,1,0,0,0,0,0,2,2,113,113,2,2,1,2020,FALSE
946761998,2,13,18,18,18,22,5,5,2,3,1,2,0,3,0,2,5.04,Male,0,1,0,0,0,1,2,2,95,95,2,1,2,2017,TRUE
730561297,10,16,26,27,30,30,16,44,3,2,1,2,2,1,0,2,5.75,Male,1,0,0,0,0,0,2,2,103,103,2,0,0,2020,FALSE
221038512,9,13,22,21,26,28,12,34,2,2,1,1,0,0,0,0,5.25,Male,1,0,0,0,0,0,2,2,114,114,2,2,2,2017,FALSE
772959496,7,13,18,20,23,26,16,34,1,2,1,2,2,2,1,2,4.67,Female,1,0,0,0,0,0,4,2,98,98,2,2,0,2017,FALSE
219322616,8,13,21,18,21,24,22,34,2,3,1,1,0,1,1,1,5.76,Male,1,0,0,0,0,0,3,1,103,103,2,1,1,2018,FALSE
608560930,17,19,27,30,30,29,16,43,0,4,1,2,1,4,0,2,5.58,Male,1,0,0,0,0,0,2,2,116,116,2,1,1,2020,FALSE
184925118,10,12,21,25,27,32,14,40,1,4,1,2,0,4,0,2,4.67,Male,1,0,0,0,0,0,2,2,120,120,2,0,1,2016,FALSE
156725548,10,12,15,18,20,30,25,31,0,4,2,2,1,4,1,2,5.23,Male,1,0,0,0,0,0,2,2,116,116,2,2,1,2020,FALSE
678250422,7,13,18,16,22,25,22,18,2,2,1,1,1,2,1,2,5.55,Male,0,1,0,0,0,1,1,1,99,94,2,1,0,2021,TRUE
512093086,7,13,15,18,17,20,22,33,2,3,1,2,2,2,0,2,6.07,Male,0,1,0,0,0,0,2,1,91,91,2,1,1,2020,TRUE
544903115,8,11,18,16,20,26,32,20,1,3,1,2,2,4,2,2,5.34,Male,1,0,0,0,0,0,4,4,98,98,2,2,0,2018,TRUE
200701341,10,12,15,20,24,25,13,39,1,2,1,1,1,3,1,2,5.54,Male,1,0,0,0,0,0,2,1,95,92,2,2,0,2021,FALSE
193444118,11,18,22,20,26,26,37,32,2,2,1,1,1,2,1,2,5.00,Female,1,0,0,0,0,0,3,2,120,120,2,0,2,2017,FALSE
886248482,12,12,17,17,23,31,42,31,1,3,1,2,0,2,1,2,5.09,Female,1,0,0,0,0,0,3,1,114,114,1,0,0,2017,FALSE
459496387,13,15,19,17,26,28,22,27,2,3,1,2,2,1,2,2,5.44,Male,1,0,0,0,0,0,1,1,97,97,2,0,1,2018,TRUE
642189367,22,26,30,28,28,29,35,34,3,4,2,2,2,4,1,4,5.06,Male,1,0,0,0,0,0,1,1,95,95,0,0,0,2018,FALSE
307409217,11,15,23,27,30,29,25,30,0,3,1,2,1,3,1,2,5.44,Female,1,0,0,0,0,0,2,2,116,116,2,0,0,2018,FALSE
524869707,13,21,22,21,25,30,22,48,0,2,1,2,0,2,0,2,4.65,Male,1,0,0,0,0,0,2,1,91,91,2,1,0,2020,FALSE
571010304,13,14,21,23,23,30,26,38,3,3,1,2,1,2,1,1,4.91,Female,1,0,0,0,0,0,3,2,101,101,2,2,0,2020,FALSE
879637870,14,15,19,19,26,30,15,38,2,4,2,2,0,2,0,1,4.91,Male,0,1,0,0,0,0,2,1,101,101,1,1,0,2020,FALSE
515250605,8,10,19,21,23,31,19,23,1,2,1,1,1,1,0,1,4.91,Male,0,1,0,0,0,0,1,1,95,95,0,0,0,2017,TRUE
587888257,9,12,16,16,20,25,11,39,1,2,1,3,1,3,2,2,4.98,Male,0,1,0,0,0,0,3,2,102,102,2,1,1,2020,FALSE
653460527,10,14,21,26,27,27,30,38,3,4,1,2,1,2,2,2,4.80,Female,1,0,0,0,0,0,2,2,95,95,2,2,2,2018,FALSE
340246946,8,10,23,18,25,25,20,36,1,3,1,1,1,2,0,2,5.29,Female,0,0,1,0,0,0,2,2,104,104,1,1,1,2020,FALSE
732707703,11,12,18,20,20,26,21,19,2,4,2,1,2,2,2,2,5.33,Female,1,0,0,0,0,0,1,1,95,95,2,0,0,2017,FALSE
327601082,13,13,20,19,21,27,22,30,1,5,1,2,1,3,1,1,5.36,Male,1,0,0,0,0,0,4,1,104,104,2,2,2,2017,FALSE
140170734,13,16,29,20,24,25,11,27,1,3,1,1,1,1,2,2,4.76,Female,1,0,0,0,0,0,2,1,92,92,2,0,0,2020,FALSE
439588016,0,9,17,15,17,18,22,38,2,2,1,1,2,3,2,2,5.41,Female,0,1,0,0,0,0,3,2,104,98,2,2,0,2021,TRUE
378665250,19,20,28,23,25,28,42,46,4,4,2,3,5,5,0,3,5.88,Male,1,0,0,0,0,0,2,2,113,113,2,2,1,2020,FALSE
632371410,12,18,21,25,28,30,37,39,2,4,1,2,1,3,1,2,5.03,Female,1,0,0,0,0,0,3,1,95,95,1,0,0,2020,FALSE
428488088,12,16,24,26,25,31,27,31,1,3,1,2,2,3,0,2,5.33,Female,1,0,0,0,0,0,2,1,97,97,1,0,0,2017,FALSE
607574866,13,16,24,23,31,31,28,43,3,4,2,1,3,4,2,2,5.50,Male,1,0,0,0,0,0,1,1,95,95,2,1,1,2020,FALSE
797281001,10,14,21,20,28,33,27,41,2,2,1,1,1,3,2,2,5.75,Female,1,0,0,0,0,0,2,1,101,101,2,0,0,2020,FALSE
153556025,16,16,21,21,25,31,14,29,2,2,1,1,0,2,1,2,5.54,Female,1,0,0,0,0,0,2,2,110,110,2,0,0,2018,FALSE
465910315,8,10,18,18,26,30,9,26,2,3,1,2,1,1,1,2,5.55,Female,0,1,0,0,0,0,2,2,103,103,2,1,1,2020,TRUE
794339402,9,12,18,19,22,23,10,28,2,3,1,1,1,2,2,2,5.73,Male,1,0,0,0,0,0,4,4,97,97,2,2,2,2020,FALSE
941881187,8,13,22,23,25,28,22,32,1,2,0,2,1,2,1,2,4.92,Female,1,0,0,0,0,0,3,2,115,115,2,2,2,2018,FALSE
336882634,6,5,16,18,23,25,10,18,3,4,1,2,2,5,2,2,5.41,Male,1,0,0,0,0,0,1,1,94,94,1,0,0,2017,FALSE
896834179,7,13,25,32,30,30,15,33,2,4,1,2,1,2,1,2,4.51,Female,1,0,0,0,0,0,3,3,95,95,2,2,2,2020,FALSE
909833986,19,18,23,22,28,27,34,41,3,4,1,2,1,4,2,2,5.33,Female,0,0,0,0,1,1,1,1,113,105,1,1,1,2021,FALSE
148433318,15,14,18,24,27,30,22,30,3,5,2,2,1,4,2,2,4.93,Male,1,0,0,0,0,0,1,1,120,120,0,0,0,2016,FALSE
173215751,11,15,20,21,24,24,23,30,2,5,2,2,1,4,2,2,5.67,Male,1,0,0,0,0,0,2,2,95,95,2,1,0,2018,FALSE
420089318,22,13,17,15,20,24,14,35,1,3,1,2,1,5,0,2,5.22,Male,0,1,0,0,0,1,3,1,95,95,0,0,0,2018,FALSE
263871692,21,28,32,28,29,30,45,36,2,3,2,2,4,4,2,2,5.27,Female,1,0,0,0,0,0,3,3,101,101,2,1,1,2017,FALSE
758236944,16,21,26,25,29,29,59,35,3,4,1,2,1,2,2,2,5.67,Female,1,0,0,0,0,0,3,2,117,117,2,2,2,2017,FALSE
175201895,12,17,23,25,29,30,27,48,2,3,1,2,1,3,1,1,5.49,Male,1,0,0,0,0,0,4,4,105,105,1,1,1,2020,FALSE
924859376,21,24,29,31,32,30,59,49,3,2,1,2,2,4,3,4,5.58,Male,1,0,0,0,0,0,1,1,113,113,2,2,2,2020,FALSE
481290361,15,21,29,28,26,30,29,37,2,4,1,2,2,2,2,2,5.50,Female,1,0,0,0,0,0,2,2,95,95,2,2,2,2017,FALSE
596617286,10,11,18,22,22,24,15,33,1,1,1,2,0,2,0,2,5.31,Male,0,1,0,0,0,1,1,1,114,114,1,1,1,2020,FALSE
547750453,12,21,25,28,30,30,22,26,0,5,2,2,2,4,1,4,5.69,Male,1,0,0,0,0,0,2,2,101,101,2,0,1,2016,FALSE
146838044,16,23,22,22,25,27,33,33,1,3,0,2,1,1,2,2,5.50,Male,0,1,0,0,0,0,3,3,102,102,2,0,2,2018,FALSE
258935452,20,29,29,27,31,29,32,32,3,3,1,2,1,2,0,2,5.16,Male,0,0,0,0,1,0,1,1,101,101,1,0,0,2016,FALSE
153175084,11,18,22,20,29,31,21,39,2,4,2,2,1,2,2,2,5.78,Male,1,0,0,0,0,0,3,3,101,101,2,1,1,2020,FALSE
881827574,18,16,21,21,22,26,23,36,2,5,1,3,2,2,0,1,5.40,Male,1,0,0,0,0,0,4,1,120,120,2,2,1,2017,FALSE
614630031,9,14,21,23,26,29,14,15,0,3,1,2,1,2,0,2,5.31,Male,0,1,0,0,0,1,2,2,108,108,2,0,1,2020,TRUE
956793296,6,7,20,21,29,29,24,31,2,4,2,2,1,4,2,2,5.15,Male,0,1,0,0,0,0,3,3,102,97,2,2,1,2021,FALSE
830271825,7,12,17,19,19,24,17,30,1,2,1,1,1,0,1,1,5.34,Male,1,0,0,0,0,0,6,3,95,95,0,0,0,2017,FALSE
452308309,13,12,14,12,13,18,7,14,2,2,1,1,1,1,1,1,4.93,Female,0,1,0,0,0,0,1,1,109,109,2,1,1,2020,TRUE
485657610,4,11,18,19,24,29,30,38,1,4,1,2,3,2,2,1,6.02,Male,1,0,0,0,0,0,4,2,114,114,2,1,0,2017,FALSE
941568807,7,11,17,22,25,24,7,14,1,3,0,2,1,2,0,2,4.95,Female,0,1,0,0,0,0,2,2,97,97,0,0,0,2016,FALSE
561282770,16,27,28,31,29,32,53,41,2,3,2,2,2,2,1,3,5.63,Female,0,0,1,0,0,1,2,1,114,114,2,1,1,2020,FALSE
731498881,34,32,28,31,27,26,40,35,2,2,1,2,1,0,2,2,4.96,Male,1,0,0,0,0,0,2,2,95,95,2,2,1,2017,FALSE
298744939,13,19,20,24,31,30,24,38,2,4,2,3,3,5,2,2,5.89,Female,1,0,0,0,0,0,1,1,104,104,2,0,1,2020,FALSE
852074843,6,23,26,31,32,30,13,35,0,3,1,2,1,3,1,2,5.02,Male,1,0,0,0,0,0,2,1,116,116,2,1,2,2018,FALSE
215557975,13,14,23,21,26,30,26,30,2,2,1,2,2,2,2,3,5.19,Female,1,0,0,0,0,0,2,2,114,114,0,0,0,2018,FALSE
576265297,14,15,25,23,31,29,28,41,1,3,1,2,2,3,2,2,5.36,Male,0,0,1,0,0,0,2,1,116,116,2,1,0,2020,FALSE
730890540,22,24,31,27,27,27,30,37,3,3,1,2,2,2,2,2,5.81,Female,1,0,0,0,0,0,3,2,95,95,2,0,1,2018,FALSE
798708888,3,4,17,12,20,25,17,29,0,5,1,3,0,3,1,3,4.86,Female,0,1,0,0,0,0,3,3,98,98,2,1,2,2021,TRUE
871445669,15,17,22,24,25,29,46,37,2,2,1,1,2,2,2,2,5.46,Female,1,0,0,0,0,0,3,3,94,94,1,1,0,2020,FALSE
864595942,13,13,23,28,26,24,26,34,2,2,1,1,1,1,1,1,4.69,Female,1,0,0,0,0,0,3,2,95,95,2,1,1,2017,FALSE
681537822,8,16,17,22,27,27,6,26,2,4,1,1,2,2,2,1,5.48,Male,0,0,1,0,0,0,5,2,114,114,2,0,0,2018,FALSE
317128602,8,12,20,22,25,28,20,32,1,3,1,1,2,2,2,1,4.99,Male,1,0,0,0,0,0,2,2,115,115,2,1,0,2018,FALSE
720181422,3,12,18,18,25,27,11,31,1,2,1,1,2,2,0,2,5.42,Female,0,1,0,0,0,0,1,1,97,97,0,0,0,2016,FALSE
173345741,23,25,27,24,27,29,33,30,3,3,2,2,2,3,2,3,4.98,Male,1,0,0,0,0,0,3,2,97,97,2,0,1,2017,FALSE
939213848,6,9,21,19,22,27,11,28,2,1,1,2,2,1,2,1,4.99,Male,1,0,0,0,0,0,4,4,94,94,1,1,1,2018,TRUE
776529698,5,11,22,26,31,31,18,31,2,3,0,1,2,0,2,0,5.15,Male,1,0,0,0,0,0,3,1,114,104,2,1,1,2021,FALSE
713480701,10,14,20,18,21,26,23,37,2,1,1,2,1,1,2,2,5.53,Female,1,0,0,0,0,0,4,3,105,105,2,0,0,2020,FALSE
917406963,8,8,17,14,23,27,13,27,2,3,1,1,1,2,2,2,5.31,Male,1,0,0,0,0,0,1,1,88,88,0,0,0,2017,FALSE
729017720,4,9,16,14,18,23,7,18,1,2,0,1,1,3,0,2,5.39,Male,1,0,0,0,0,0,2,2,96,96,0,0,0,2017,TRUE
959079517,17,18,21,26,30,29,37,36,1,2,1,1,1,2,2,2,5.33,Female,1,0,0,0,0,0,3,3,104,98,2,0,1,2021,FALSE
423051158,11,12,16,21,21,26,14,35,2,2,1,1,0,2,1,1,5.48,Female,1,0,0,0,0,0,2,2,98,98,0,0,0,2017,TRUE
390347624,6,9,17,21,26,29,17,21,0,2,1,2,0,2,1,2,5.19,Female,0,0,1,0,0,0,2,1,98,98,1,1,0,2018,FALSE
757358678,10,14,19,25,31,28,16,33,0,4,1,2,3,2,2,2,5.51,Male,1,0,0,0,0,0,2,1,91,89,1,1,1,2021,TRUE
278395301,14,17,25,25,25,28,16,31,2,2,1,2,1,2,0,2,5.12,Female,1,0,0,0,0,0,2,2,103,103,2,0,0,2020,FALSE
638476358,10,17,23,23,26,28,13,39,0,1,1,1,1,1,0,2,4.59,Male,0,1,0,0,0,0,3,2,104,104,2,1,0,2020,TRUE
887007879,10,13,19,15,23,27,10,35,2,2,1,2,2,2,0,1,5.01,Male,0,1,0,0,0,0,1,1,110,110,1,0,0,2018,TRUE
465018494,16,22,28,29,28,29,18,30,4,4,1,2,2,1,2,2,5.94,Female,1,0,0,0,0,0,1,1,114,114,1,1,1,2018,FALSE
186993150,14,18,23,24,27,28,37,39,1,2,1,2,1,1,2,0,5.41,Female,1,0,0,0,0,0,2,2,98,98,2,1,1,2017,FALSE
569934079,1,17,17,18,17,20,24,10,1,2,1,1,2,1,2,1,5.40,Female,0,1,0,0,0,0,3,3,95,95,2,1,0,2018,TRUE
276776546,24,28,30,29,26,31,34,42,3,5,1,3,1,4,2,2,5.94,Male,1,0,0,0,0,0,2,1,95,95,2,2,1,2020,FALSE
824867865,21,22,28,25,31,31,38,45,1,3,1,2,1,1,0,2,5.37,Female,1,0,0,0,0,0,2,1,109,109,1,2,0,2020,FALSE
300758524,3,13,13,11,16,19,3,15,1,1,0,1,0,0,0,0,5.59,Male,0,1,0,0,0,0,1,1,95,95,0,0,0,2018,TRUE
747424210,12,10,22,24,30,28,21,37,1,1,0,2,1,3,1,2,4.87,Male,0,1,0,0,0,0,2,2,116,104,2,2,1,2021,FALSE
649006922,3,19,18,21,25,25,18,25,1,3,0,1,1,2,0,2,4.81,Female,1,0,0,0,0,0,2,1,78,78,0,0,0,2020,TRUE
159580333,13,18,24,27,28,29,21,26,2,3,1,2,1,2,2,2,5.19,Female,1,0,0,0,0,0,4,4,116,116,2,0,1,2020,FALSE
699822507,8,14,17,20,24,24,30,43,2,3,1,2,2,2,1,2,5.51,Female,1,0,0,0,0,0,4,3,92,87,2,0,0,2021,FALSE
227536339,3,6,13,14,16,15,18,26,2,1,1,1,1,1,0,0,5.44,Female,1,0,0,0,0,0,2,2,101,101,1,0,0,2016,TRUE
688632732,12,15,20,23,25,30,17,32,2,4,1,2,2,2,2,2,5.61,Male,1,0,0,0,0,0,2,2,114,114,1,1,0,2018,FALSE
203763861,21,26,29,29,28,28,32,35,3,4,2,2,3,2,2,4,5.12,Female,1,0,0,0,0,0,3,2,101,101,2,2,1,2016,FALSE
525130568,6,9,17,15,21,22,3,-2,1,2,1,1,1,1,1,2,4.50,Male,0,1,0,0,0,0,3,3,92,87,2,1,0,2021,TRUE
262307425,6,10,16,18,20,25,28,8,1,2,1,1,1,2,0,0,5.33,Female,1,0,0,0,0,0,2,1,97,97,0,0,0,2018,FALSE
242133530,16,13,22,19,27,27,16,34,1,1,1,1,1,0,1,0,5.48,Female,0,0,0,0,1,1,2,1,103,103,2,0,1,2018,FALSE
432678632,16,17,24,29,30,31,17,16,2,2,0,2,1,3,1,3,5.27,Female,1,0,0,0,0,0,3,2,94,94,1,0,0,2018,FALSE
999569637,9,11,17,14,16,23,13,19,2,3,1,2,2,2,1,2,5.22,Male,0,1,0,0,0,1,2,1,95,95,1,0,0,2020,TRUE
642157983,8,11,18,15,20,24,10,13,2,1,0,1,3,2,0,2,5.65,Male,0,1,0,0,0,1,2,2,95,95,2,0,0,2018,TRUE
111324244,9,14,18,19,18,25,12,27,1,3,1,1,0,2,1,2,5.59,Female,1,0,0,0,0,0,4,1,93,93,2,1,0,2020,TRUE
373252643,12,13,18,21,19,23,12,25,2,4,1,2,2,2,2,2,5.11,Male,1,0,0,0,0,0,2,1,120,120,2,2,1,2018,FALSE
867402826,11,15,20,25,27,29,33,32,1,3,1,2,0,1,0,0,5.26,Female,1,0,0,0,0,0,2,1,116,116,1,1,0,2017,FALSE
724291653,12,18,21,20,25,26,3,32,2,4,1,2,0,1,0,2,5.18,Female,1,0,0,0,0,0,3,1,103,103,2,2,1,2018,FALSE
453568292,7,14,24,28,28,28,10,29,1,2,1,1,1,2,1,1,5.28,Female,1,0,0,0,0,0,2,2,114,114,2,0,1,2016,FALSE
226786631,12,18,28,28,30,28,32,29,3,3,1,2,1,2,0,1,5.21,Female,1,0,0,0,0,0,1,1,114,114,2,0,2,2016,FALSE
602909571,14,15,21,23,26,27,13,32,1,3,1,2,0,2,0,2,5.52,Female,1,0,0,0,0,0,2,2,110,110,2,0,1,2018,FALSE
250257628,12,13,19,22,24,25,17,25,2,4,1,2,1,2,2,2,5.02,Male,0,1,0,0,0,0,3,2,114,102,2,0,0,2021,FALSE
187187651,26,29,29,30,31,32,29,36,4,4,1,2,2,4,2,2,5.84,Male,1,0,0,0,0,0,3,1,114,114,2,2,2,2018,FALSE
855126284,10,14,21,19,24,28,15,29,1,3,1,2,1,3,0,1,4.66,Male,1,0,0,0,0,0,1,1,112,112,2,2,2,2018,FALSE
755457064,12,13,21,19,23,30,27,32,1,5,1,2,2,2,2,1,5.60,Female,1,0,0,0,0,0,4,3,102,102,1,0,0,2017,FALSE
654183150,-3,5,16,16,17,19,5,10,1,4,0,1,0,1,0,2,4.75,Male,1,0,0,0,0,0,2,1,97,97,2,1,1,2018,TRUE
287269186,15,19,24,23,28,25,21,44,2,4,1,2,1,2,2,3,5.42,Female,1,0,0,0,0,0,2,1,107,96,2,2,2,2021,FALSE
754883166,0,9,16,14,21,26,12,23,2,4,1,2,2,3,2,3,5.70,Male,0,1,0,0,0,1,2,1,94,94,1,0,1,2018,TRUE
781834886,10,7,20,18,19,18,9,27,2,1,1,1,0,1,0,1,5.91,Male,1,0,0,0,0,0,2,2,97,97,0,0,0,2020,FALSE
743559545,18,17,24,26,28,30,13,31,2,5,1,4,4,5,2,4,6.00,Male,1,0,0,0,0,0,1,1,120,120,2,2,2,2017,FALSE
572170303,14,19,22,24,32,31,17,29,2,4,1,2,1,2,2,3,5.01,Male,1,0,0,0,0,0,3,1,97,97,2,2,0,2017,FALSE
373989758,14,17,24,30,32,30,17,37,3,4,1,2,2,2,2,2,4.70,Male,1,0,0,0,0,0,1,1,97,97,1,0,0,2016,FALSE
400391243,5,11,17,17,17,22,21,22,1,2,1,1,2,1,0,2,5.73,Female,1,0,0,0,0,0,2,2,112,112,2,2,2,2020,FALSE
836293168,10,15,22,31,29,29,51,41,1,2,1,2,0,1,0,0,5.14,Female,1,0,0,0,0,0,2,1,114,114,2,2,2,2016,FALSE
482464253,8,12,18,22,26,31,23,22,1,2,1,1,1,2,2,2,5.45,Female,1,0,0,0,0,0,1,1,107,96,2,1,0,2021,TRUE
439692119,13,16,20,22,25,24,17,26,2,3,1,2,2,3,0,2,5.28,Female,1,0,0,0,0,0,1,1,97,97,0,0,0,2017,FALSE
865170218,15,21,26,30,31,31,21,24,1,4,1,2,1,2,2,2,5.67,Male,1,0,0,0,0,0,1,1,114,114,2,0,0,2020,FALSE
818738394,12,14,21,22,25,30,40,43,1,4,1,3,1,2,0,2,5.65,Female,1,0,0,0,0,0,3,3,114,114,1,1,1,2020,FALSE
249450253,2,11,18,19,19,20,9,20,1,3,1,1,1,1,0,2,5.62,Female,0,0,1,0,0,1,6,4,95,95,0,0,0,2020,FALSE
378534902,12,15,30,25,25,32,21,28,0,1,1,2,2,3,0,2,4.52,Female,1,0,0,0,0,0,2,2,104,104,1,0,1,2018,FALSE
255291958,11,7,15,17,21,28,25,35,1,1,1,1,3,0,2,1,4.90,Female,0,0,0,0,1,0,3,1,97,97,2,0,0,2017,FALSE
515829140,13,14,20,23,26,28,8,46,2,2,1,2,2,2,1,2,5.47,Male,0,1,0,0,0,0,2,2,112,112,2,1,1,2020,FALSE
270341050,18,22,25,17,26,30,13,32,3,4,1,2,3,2,0,3,5.41,Male,1,0,0,0,0,0,3,3,95,105,2,1,2,2018,FALSE
795469984,10,13,26,20,25,30,11,26,1,3,0,2,2,2,1,0,5.32,Male,0,1,0,0,0,0,2,1,97,97,2,0,0,2017,TRUE
950396591,14,19,21,22,23,28,19,42,2,2,1,1,1,2,1,2,5.67,Female,0,1,0,0,0,0,2,1,117,108,2,2,2,2021,FALSE
521533414,6,10,18,18,20,24,9,30,2,4,1,2,2,2,0,1,4.88,Male,1,0,0,0,0,0,3,3,97,97,0,0,0,2018,TRUE
349034954,8,12,22,21,23,25,30,32,1,2,1,1,1,1,1,2,5.31,Female,1,0,0,0,0,0,2,2,95,95,2,0,2,2018,FALSE
256280357,13,20,24,24,27,29,23,31,2,3,1,2,2,2,2,0,5.66,Male,1,0,0,0,0,0,2,1,95,95,2,2,0,2018,FALSE
330863331,13,18,24,21,25,29,21,30,1,2,1,1,1,0,1,0,4.92,Female,1,0,0,0,0,0,2,1,116,116,1,1,0,2017,FALSE
722136310,5,14,19,22,20,24,13,17,1,1,1,0,0,2,0,2,5.29,Male,0,1,0,0,0,0,1,1,104,104,0,0,0,2017,FALSE
